Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,UNIT_MEASURE,TIME_DETAIL,Value
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_DISABLED_JUDICIARY,,PT,2021,1
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,,PT,2021,211
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,,PT,2021,228
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,,PT,2021,220
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,,PT,2021,207
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,,PT,2021,212
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,,PT,2021,201
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_FEMALE_JUDICIARY,,PT,2021,200
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,,PT,2021,51
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,,PT,2021,48
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,,PT,2021,48
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,,PT,2021,53
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,,PT,2021,52
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,,PT,2021,60
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUDGES_OF_THE_HIGH_COURT,,PT,2021,60
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_COURT_OF_APPEAL,,PT,2021,12
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_COURT_OF_APPEAL,,PT,2021,13
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_COURT_OF_APPEAL,,PT,2021,13
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_COURT_OF_APPEAL,,PT,2021,14
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_COURT_OF_APPEAL,,PT,2021,12
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_COURT_OF_APPEAL,,PT,2021,14
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_COURT_OF_APPEAL,,PT,2021,14
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_SUPREME_COURT,,PT,2021,8
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_SUPREME_COURT,,PT,2021,9
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_SUPREME_COURT,,PT,2021,8
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_SUPREME_COURT,,PT,2021,11
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_SUPREME_COURT,,PT,2021,11
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_SUPREME_COURT,,PT,2021,11
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_JUSTICES_OF_THE_SUPREME_COURT,,PT,2021,10
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_I,,PT,2021,167
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_I,,PT,2021,195
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_I,,PT,2021,190
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_I,,PT,2021,187
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_I,,PT,2021,190
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_I,,PT,2021,190
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_I,,PT,2021,169
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_II,,PT,2021,60
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_II,,PT,2021,51
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_II,,PT,2021,46
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_II,,PT,2021,37
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_II,,PT,2021,33
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_II,,PT,2021,28
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MAGISTRATES_GRADE_II,,PT,2021,24
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MALE_JUDICIARY,,PT,2021,155
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MALE_JUDICIARY,,PT,2021,179
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MALE_JUDICIARY,,PT,2021,170
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MALE_JUDICIARY,,PT,2021,178
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MALE_JUDICIARY,,PT,2021,179
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MALE_JUDICIARY,,PT,2021,183
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_MALE_JUDICIARY,,PT,2021,175
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_TOTAL_OFFICERS_JUDICIARY,,PT,2021,366
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_TOTAL_OFFICERS_JUDICIARY,,PT,2021,407
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_TOTAL_OFFICERS_JUDICIARY,,PT,2021,390
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_TOTAL_OFFICERS_JUDICIARY,,PT,2021,385
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_TOTAL_OFFICERS_JUDICIARY,,PT,2021,391
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_TOTAL_OFFICERS_JUDICIARY,,PT,2021,384
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,,_L_UG_TOTAL_OFFICERS_JUDICIARY,,PT,2021,375
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2612,_L_UG_REGISTRARS,,PT,2021,22
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2612,_L_UG_REGISTRARS,,PT,2021,44
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2612,_L_UG_REGISTRARS,,PT,2021,45
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2612,_L_UG_REGISTRARS,,PT,2021,46
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2612,_L_UG_REGISTRARS,,PT,2021,47
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2612,_L_UG_REGISTRARS,,PT,2021,33
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2612,_L_UG_REGISTRARS,,PT,2021,48
2015,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2619R,_L_UG_CHIEF_MAGISTRATE,,PT,2021,46
2016,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2619R,_L_UG_CHIEF_MAGISTRATE,,PT,2021,47
2017,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2619R,_L_UG_CHIEF_MAGISTRATE,,PT,2021,40
2018,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2619R,_L_UG_CHIEF_MAGISTRATE,,PT,2021,37
2019,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2619R,_L_UG_CHIEF_MAGISTRATE,,PT,2021,46
2020,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2619R,_L_UG_CHIEF_MAGISTRATE,,PT,2021,48
2021,A,0,Administrative Data,SG_DMK_JDC_HGR,,,ISCO08_2619R,_L_UG_CHIEF_MAGISTRATE,,PT,2021,50
2017,A,0,NGPSS,SG_DMK_JDC_HGR,,F,,,,PT,2017,30
